ABI,ABILENE,ABILENE,TX
ABQ,ALBUQUERQUE,ALBUQUERQUE,NM
ABR,ABERDEEN,ABERDEEN,SD
ACH,ANTON CHICO,ANTON CHICO,NM
ACK,NANTUCKET,NANTUCKET,MA
ACO,AKRON,AKRON,OH
ACT,WACO,WACO,TX
ACV,ARCATA,ARCATA/EUREKA,CA
ACY,ATLANTIC CITY,ATLANTIC CITY,NJ
ADM,ARDMORE,ARDMORE,OK
ADW,ANDREWS,CAMP SPRINGS,MD
AEX,ALEXANDRIA,ALEXANDRIA,LA
AGJ,GOOCH SPRINGS,LAMPASAS,TX
AHN,ATHENS,ATHENS,GA
AIA,ALLIANCE,ALLIANCE,NE
AIR,BELLAIRE,BELLAIRE,OH
AKO,AKRON,AKRON,CO
ALB,ALBANY,ALBANY,NY
ALD,ALLENDALE,ALLENDALE,SC
ALI,ALICE,ALICE,TX
ALO,WATERLOO,WATERLOO,IA
ALS,ALAMOSA,ALAMOSA,CO
ALW,WALLA WALLA,WALLA WALLA,WA
ANW,AINSWORTH,AINSWORTH,NE
ANX,NAPOLEON,NAPOLEON,MO
APE,APPLETON,APPLETON,OH
APN,ALPENA,ALPENA,MI
ARD,YARDLEY,YARDLEY,PA
ARG,WALNUT RIDGE,WALNUT RIDGE,AR
ART,WATERTOWN,WATERTOWN,NY
AST,ASTORIA,ASTORIA,OR
ATR,WATERLOO,WATERLOO,DE
AUG,AUGUSTA,AUGUSTA,ME
AVE,AVENAL,AVENAL,CA
AXC,ADDERS,DECATUR,IL
AXN,ALEXANDRIA,ALEXANDRIA,MN
AYS,WAYCROSS,WAYCROSS,GA
BAE,BADGER,MILWAUKEE,WI
BAF,BARNES,BARNES,MA
BAL,BALTIMORE,BALTIMORE,MD
BAM,BATTLE MOUNTAIN,BATTLE MOUNTAIN,NV
BCE,BRYCE CANYON,BRYCE CANYON,UT
BFF,SCOTTSBLUFF,SCOTTSBLUFF,NE
BFM,BROOKLEY,MOBILE,AL
BFV,BURNS FLAT,CLINTON,OK
BGR,BANGOR,BANGOR,ME
BGS,BIG SPRING,BIG SPRING,TX
BIB,BIBLE GROVE,BIBLE GROVE,IL
BIH,BISHOP,BISHOP,CA
BIL,BILLINGS,BILLINGS,MT
BIS,BISMARCK,BISMARCK,ND
BJB,WEST BEND,WEST BEND,WI
BJC,JEFFCO,DENVER,CO
BKE,BAKER CITY,BAKER CITY,OR
BLD,BOULDER CITY,BOULDER CITY,NV
BLF,BLUEFIELD,BLUEFIELD,WV
BLH,BLYTHE,BLYTHE,CA
BNA,NASHVILLE,NASHVILLE,TN
BOI,BOISE,BOISE,ID
BOS,BOSTON,BOSTON,MA
BOY,BOYSEN RESERVOIR,BOYSEN RESERVOIR,WY
BPI,BIG PINEY,BIG PINEY,WY
BQS,BRAYMER,BRAYMER,MO
BQU,BULLION,ELKO,NV
BQZ,ROBERT,STRAMBOAT SPRINGS,CO
BRK,BLACK FOREST,COLORADO SPRINGS,CO
BRL,BURLINGTON,STRONGHURST,IL
BRV,BROOKE,BROOKE,VA
BSV,BRIGGS,BRIGGS,OH
BTG,BATTLE GROUND,BATTLE GROUND,WA
BTV,BURLINGTON,BURLINGTON,VT
BTY,BEATTY,BEATTY,NV
BUM,BUTLER,BUTLER,MO
BVL,BONNEVILLE,BONNEVILLE,UT
BVO,BARTLESVILLE,BARTLESVILLE,OK
BWD,BROWNWOOD,BROWNWOOD,TX
BXK,BUCKEYE,BUCKEYE,AZ
BYI,BURLEY,BURLEY,ID
BYP,BONHAM,BONHAM,TX
BZA,BARD,YUMA,CA
BZM,BARRETTS MOUNTAIN,HICKORY,NC
BZN,BOZEMAN,BOZEMAN,MT
CAE,COLUMBIA,COLUMBIA,SC
CAM,CAMBRIDGE,CAMBRIDGE,NY
CCC,CALVERTON,CALVERTON,NY
CDS,CHILDRESS,CHILDRESS,TX
CEC,CRESCENT CITY,CRESCENT CITY,CA
CEW,CRESTVIEW,CRESTVIEW,FL
